Story #	Character Name	Sound	Sr No	Day	Charachter	Character Emotion	Dialogs & Requirments	Sprite																	
Story 1	Amarjeet	Spiritual Background Music 1	1	Day 1	No character - Dialog Setup	Not Applicable	"After a particularly frustrating cricket practice where his shots lacked consistency and his focus kept wandering, Raju chooses to visit the small neighborhood temple where Amarjeet, the elderly priest, has always offered quiet wisdom."	Shiv Temple																	
Story 1	Amarjeet	Spiritual Background Music 1	1.1	Day 1	No character - Dialog Setup	Not Applicable	"The evening shadows lengthen across the temple courtyard as the familiar scent of incense mingles with the distant sounds of the neighborhood settling into dusk. Raju's footsteps slow as he approaches the sacred space, his cricket bat feeling heavy in his hand, weighed down not by its physical presence but by the day's accumulated frustrations and questions that seem to have no clear answers."	Shiv Temple																	
Story 1	Amarjeet	Spiritual Background Music 1	2	Day 1	Amarjeet	Amarjeet Serious	"Ah, young one. You come running with dust on your face and a bat in your hand, but I can see something troubling you. Your cricket practice didn't go as planned today, did it?"	AmarjeetSerious																	
Story 1	Amarjeet	Spiritual Background Music 1	2.1	Day 1	No character - Dialog Setup	Raju Surprised	"Raju feels surprised by the priest's perceptiveness. He had hoped his frustration wasn't so obvious, but Amerjeet's years of observing people seem to make him particularly skilled at reading the emotions of young visitors to his temple."	RajuSurprised																	
Story 1	Amarjeet	Spiritual Background Music 1	3	Day 1	Raju	Raju Sad	"Baba, I don't understand why some days I can hit every ball perfectly, and other days I can't connect with anything. I practice the same way, but the results keep changing. Am I doing something wrong?"	RajuSad																	
Story 1	Amarjeet	Spiritual Background Music 1	4	Day 1	Amarjeet	Amarjeet Serious	"Tell me, beta, what do you think discipline means? Most young people think they understand this word, but few grasp its deeper significance."	AmarjeetSerious																	
Story 1	Amarjeet	Spiritual Background Music 1	5	Day 1	Raju	Raju Quizzical	To... follow rules? To practice regularly? I try to do both of those things with my cricket.	RajuQuizzical																	
Story 1	Amarjeet	Spiritual Background Music 1	6	Day 1	Amarjeet	Amarjeet Serious	"Rules and practice, yes - those are the surface of discipline. But deeper than that, true discipline is focus. It is the ability to keep your mind steady regardless of external circumstances."	AmarjeetSerious																	
Story 1	Amarjeet	Spiritual Background Music 1	7	Day 1	Amarjeet	Amarjeet Serious	"See this diya, child? The wind pushes against it, trying to extinguish the flame, yet the light survives because it has found steadiness. So too must your mind be if you want your cricket skills to rise above inconsistency."	AmarjeetSerious																	
Story 1	Amarjeet	Spiritual Background Music 1	8	Day 1	Raju	Raju Excited	"So when my shots are inconsistent, it's not because I'm practicing wrong - it's because my mind isn't steady like the flame?"	RajuExcited																	
Story 1	Amarjeet	Spiritual Background Music 1	9	Day 1	Amarjeet	Amarjeet Smiling	"Exactly, beta. Your hands know the technique, your body understands the movements, but your mind wanders. True discipline means keeping your attention only on this moment, this shot, this breath."	AmarjeetSmiling																	
Story 1	Amarjeet	Spiritual Background Music 1	10	Day 1	Raju	Raju Quizzical	"I think I understand what you mean, Baba. But achieving that kind of focus... it's not easy, is it?"	RajuQuizzical																	
Story 1	Amarjeet	Spiritual Background Music 1	11	Day 1	Amarjeet	Amarjeet Serious	"Nothing worth achieving is easy, child. If you truly wish to learn this deeper discipline, return tomorrow evening. We will continue this conversation."	AmarjeetSerious																	
Story 1	Amarjeet	Spiritual Background Music 1	12	Day 1	Raju	Raju Serious	"Thank you, Baba. I will come back. I want to learn this kind of focus."	RajuSerious																	
Story 1	Amarjeet	Spiritual Background Music 1	12.1	Day 1	No character - Dialog Setup	Not Applicable	"As Raju walks home from the temple carrying both his cricket bat and new perspective on the relationship between mental discipline and physical performance, he understands that Amerjeet has offered him something more valuable than cricket technique - insight into the mental foundations that support all achievement. His voluntary visit has introduced him to concepts of focus and steadiness that could transform not just his game but his entire approach to pursuing goals."	Shiv Temple																	
Story 1	Amarjeet	Spiritual Background Music 1	13	Day 2	No character - Dialog Setup	Not Applicable	"True to his promise, Raju returns to the temple the following evening, determined to learn more about the mental discipline that Amarjeet described."	Not Applicable																	
Story 1	Amarjeet	Spiritual Background Music 1	13.1	Day 2	No character - Dialog Setup	Amarjeet Smiling	"The temple courtyard glows softly in the evening light as Amerjeet tends to the oil lamps with the same steady devotion that characterizes all his actions. His movements reflect decades of disciplined practice, each gesture purposeful and unhurried. When he sees Raju approaching with obvious eagerness to continue their previous conversation, his expression shows the pleased surprise of a teacher whose student has demonstrated genuine commitment to learning."	AmarjeetSmiling																	
Story 1	Amarjeet	Spiritual Background Music 1	14	Day 2	Amarjeet	Amarjeet Smiling	"So, you came back, beta. Few boys your age keep promises, especially when the teaching involves hard work rather than easy answers."	AmarjeetSmiling																	
Story 1	Amarjeet	Spiritual Background Music 1	14.1	Day 2	No character - Dialog Setup	Raju Quizzical	Raju feels both pride in having kept his commitment and nervous anticipation about whether he has understood and applied yesterday's lessons correctly. The priest's acknowledgment of his return gives him confidence to share his experiences and ask the questions that have been building throughout the day.	RajuQuizzical																	
Story 1	Amarjeet	Spiritual Background Music 1	15	Day 2	Raju	Raju Excited	"Baba, I've been thinking about what you said about mental steadiness. I tried to focus only on each individual ball during today's practice. It felt... different. Better, but also more difficult than I expected."	RajuExcited																	
Story 1	Amarjeet	Spiritual Background Music 1	16	Day 2	Amarjeet	Amarjeet Serious	"You've discovered something important - that discipline transforms the quality of both success and failure. When your mind is steady, even errors become teachers rather than sources of discouragement."	AmarjeetSerious																	
Story 1	Amarjeet	Spiritual Background Music 1	17	Day 2	Amarjeet	Amarjeet Serious	But tell me this - was it easy to maintain that focus throughout your entire practice session? Did your mind want to wander to other thoughts?	AmarjeetSerious																	
Story 1	Amarjeet	Spiritual Background Music 1	18	Day 2	Raju	Raju Serious	"No, Baba, it wasn't easy at all. My mind kept wanting to think about other things. Keeping attention on just the current moment felt like... like holding water in cupped hands."	RajuSerious																	
Story 1	Amarjeet	Spiritual Background Music 1	19	Day 2	Amarjeet	Amarjeet Serious	"A perfect analogy, beta. Mental discipline is indeed like holding water - it requires constant, gentle attention. The skill is in finding the right amount of focused care."	AmarjeetSerious																	
Story 1	Amarjeet	Spiritual Background Music 1	20	Day 2	Raju	Raju Excited	"So how do I get better at this holding, Baba? How do I make my focus stronger and more consistent?"	RajuExcited																	
Story 1	Amarjeet	Spiritual Background Music 1	21	Day 2	Amarjeet	Amarjeet Serious	Come back tomorrow if you wish to learn more about applying this discipline in different areas of your life.	AmarjeetSerious																	
Story 1	Amarjeet	Spiritual Background Music 1	21.1	Day 2	No character - Dialog Setup	Not Applicable	"As Raju walks home from the temple carrying both practical techniques for developing focus and growing recognition that Amerjeet's teachings extend far beyond cricket, he feels the satisfaction of a student who has engaged seriously with challenging material. His voluntary return has deepened the priest's investment in his education and opened the door to more advanced teachings about mental discipline and its applications."	Shiv Temple																	
Story 1	Amarjeet	Spiritual Background Music 1	22	Day 3	No character - Dialog Setup	Not Applicable	"Encouraged by yesterday's practical guidance and the noticeable improvements in his cricket focus, Raju chooses to continue learning from Amerjeet, hoping to understand how the principles of mental discipline can help him handle not just individual shots but the longer-term challenges of developing his skills and managing setbacks that inevitably occur in serious training."	Not Applicable																	
